Population	prediction
Puerto_Rico	Ambilobe_Madagascar_3	12137.183960817949
Puerto_Rico	Bermudian_1	1543.1051033036792
Puerto_Rico	Andilambe_Madagascar_0	nan
Puerto_Rico	Bermudian_1	1555.5012748039662
Puerto_Rico	Bermudian_1	1556.367861700899
Puerto_Rico	Bermudian_1	1551.5985160059015
Puerto_Rico	Bulgaria_1	8044.327688246739
Puerto_Rico	Bulgaria_2	8416.140894202172
Puerto_Rico	Bermudian_1	1816.105165349814
Puerto_Rico	Bermudian_1	1629.1920985737722
Puerto_Rico	Bermudian_1	1547.3634484479305
Puerto_Rico	Bermudian_1	1548.6495785995285
Pulayar	Binjhal_0	1980.4004643891656
QUECHUA	AYMARA_URO_0	230.42912323437398
QUECHUA	AYMARA_URO_0	237.3852917456462
QUECHUA	AYMARA_URO_0	230.93582236824685
QUECHUA	Guanajuato_Mexico_0	5239.10157260043
QUECHUA	AYMARA_URO_0	401.6790851593196
QUECHUA	AYMARA_URO_0	224.56880069588206
QUECHUA	AYMARA_URO_0	237.40912757974053
Queretaro_Mexico	Hidalgo_Mexico_3	237.40912757974053
Rajput_Kinnura	Tharu_0	237.40912757974053
Rajput_Rajasthan	Gujarati_1	237.40912757974053
Reichenau_Mission_Underberg_KZN_RSA	Johannesburg_Gauteng_RSA_0	237.40912757974053
Relli	Pulayar_0	237.40912757974053
Romania	Bulgaria_2	311.9621890297624
Romania	Bulgaria_2	311.43576811804365
Romania	Bulgaria_2	317.61630545204036
Romania	Bulgaria_2	314.20905554567076
Romania	Bulgaria_1	316.1919875618637
Romania	Bulgaria_1	311.36143066824536
Romania	Bulgaria_1	311.797952445078
Romania	Bulgaria_1	311.1722105831984
Romania	Bulgaria_1	310.7772704065091
Romania	Bulgaria_2	479.98221562379405
Romania	Bulgaria_3	584.6697086907902
Romania	Bulgaria_2	406.86885747585
Romania	Bulgaria_2	320.41872014268375
Romania	Bulgaria_2	317.9454584641566
Romania	Bulgaria_3	232.66484547090312
Russians	Dane_1	941.0618164398292
Russians	Dane_1	951.4147239905097
Russians	Dane_1	946.2842418527973
Russians	Dane_1	942.6457507772071
Russians	Dane_1	908.4443818445009
Russians	Dane_1	922.2925049094339
Russians	Dane_1	950.5942558578569
Russians	Dane_1	830.6395098575657
Russians	Dane_4	550.8474170886842
Russians	Dane_1	951.4509040034042
Russians	Dane_1	940.4004798901271
Russians	Dane_1	948.0002376089211
Russians	Dane_1	953.5815193200572
Russians	Dane_1	949.9810191698091
Russians	Dane_1	940.1493870743525
Sardinian	Greek_2	1278.1231826689855
Sardinian	Greek_2	1287.1868397499436
Sardinian	Greek_3	1160.2193150490189
Sardinian	Greek_2	1282.056671468521
Sardinian	Greek_2	1233.1392427874555
Sardinian	Greek_2	1287.7751283579194
Sardinian	Greek_2	1281.7109554815263
Sardinian	Greek_2	1286.2058094619497
Sardinian	Greek_3	1249.55059602645
Sardinian	Greek_2	1270.6946488215906
Sardinian	Greek_3	1287.0839338667834
Sardinian	Greek_2	1287.4243610036087
Sardinian	Greek_2	1275.914140488346
Sardinian	Greek_2	1238.1218942353416
Sattibalija	Valayar_0	1238.1218942353416
Schmidtsdrift_Northern_Cape_RSA	Andriesvale_Northern_Cape_RSA_0	1493.3690120483507
Schmidtsdrift_Northern_Cape_RSA	Andriesvale_Northern_Cape_RSA_0	1552.0122437176344
Schmidtsdrift_Northern_Cape_RSA	Andriesvale_Northern_Cape_RSA_0	1530.130121728877
Schmidtsdrift_Northern_Cape_RSA	Southeastern_Namibia_2	248.7053784952395
Southeastern_Namibia	Andilambe_Madagascar_0	3221.318412992282
Southeastern_Namibia	Andilambe_Madagascar_0	3225.5448444398553
Southeastern_Namibia	Andriesvale_Northern_Cape_RSA_0	58.41545931773612
Southeastern_Namibia	Andriesvale_Northern_Cape_RSA_0	181.81190640935273
Tajikistan	Bulgaria_2	3726.7760726492793
